job_id,title,company_name,location,location_type,employment_type,industry,job_function,description,education_requirements,experience_level,salary_min,salary_max,salary_currency,is_remote,skills_required,skills_keywords,job_tags,benefits,external_url,application_email,application_method,job_type_detail,priority,job_posted_at,expires_at
1,Data Analyst,Startup,Gurgaon,Remote,Full-time,IT,Cloud Computing,Data analysis for AI-driven insights. Analyze large datasets to extract meaningful insights and create data-driven strategies for business growth,PhD in AI,0-1 years,949068,1111346,INR,true,JavaScript;React;Recruitment,JavaScript;React;Recruitment,Junior,Bonuses;Health Insurance;Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
2,Sales Executive,Startup,Mumbai,Remote,Part-time,HR,Support,Drive sales growth and manage client relationships. Build strong relationships with potential clients and achieve sales targets through strategic planning,B.Sc in IT,2-3 years,274004,918892,INR,true,Azure;Content Creation;SAP,Azure;Content Creation;SAP,Mid-Level,Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
3,AI Engineer,Startup,Noida,Onsite,Part-time,Retail,Strategy,Develop and implement AI solutions for retail optimization. Create machine learning models and algorithms to improve business processes,MBA in Marketing,2-3 years,638382,1073236,INR,false,React;Linux;JavaScript,React;Linux;JavaScript,Junior,Work from Home;PF;Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
4,UI/UX Designer,SME,Mumbai,Onsite,Full-time,Retail,Strategy,Design user-centered digital experiences and interfaces. Create intuitive and visually appealing designs for web and mobile applications,MBA in Marketing,1-2 years,787334,1313464,INR,false,PowerBI;TensorFlow;Content Creation,PowerBI;TensorFlow;Content Creation,Mid-Level,Work from Home;Bonuses;PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
5,UI/UX Designer,Startup,Kolkata,Hybrid,Part-time,Marketing,Analytics,Create engaging user interfaces and optimize user experience. Focus on user research and design thinking to improve product usability,B.Tech in CS,2-3 years,947298,1698522,INR,false,Python;React;AWS,Python;React;AWS,Leadership,PF;Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
6,Backend Developer,MNC,Pune,Hybrid,Contract,Marketing,Support,Build robust backend systems and APIs. Develop scalable server-side applications and maintain database infrastructure,B.Com,8-12 years,885239,1379425,INR,false,Kubernetes;SQL;Excel,Kubernetes;SQL;Excel,Leadership,Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
7,Cloud Architect,SME,Mumbai,Remote,Full-time,Healthcare,Strategy,Design and implement cloud infrastructure solutions. Lead cloud migration projects and optimize cloud resource utilization,PhD in AI,1-2 years,624326,807292,INR,true,SAP;AWS;PowerBI,SAP;AWS;PowerBI,Leadership,Health Insurance,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
8,Cybersecurity Specialist,Startup,Gurgaon,Remote,Full-time,Marketing,Analytics,Protect organizational digital assets and implement security protocols. Monitor security threats and develop incident response strategies,B.Sc in IT,1-2 years,719165,1113503,INR,true,Docker;DevOps;TensorFlow,Docker;DevOps;TensorFlow,Leadership,Health Insurance;Training;Work from Home,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
9,Sales Executive,Startup,Bengaluru,Hybrid,Contract,HR,Support,Generate leads and close sales deals effectively. Manage the complete sales cycle from prospecting to deal closure,B.Sc in IT,0-1 years,435329,1306408,INR,false,TensorFlow;DevOps;AWS,TensorFlow;DevOps;AWS,Junior,Training,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
10,UI/UX Designer,Startup,Chennai,Onsite,Full-time,IT,Support,Create innovative design solutions for digital products. Work closely with development teams to implement design systems,BBA,5-8 years,613890,735171,INR,false,Recruitment;Digital Marketing;DevOps,Recruitment;Digital Marketing;DevOps,Leadership,PF,,,Direct via TalentXcel AI Dashboard,Standard,true,2025-08-19,2025-09-18
